Wall time,Step,Value
1581879207.511733,172,3079.724365234375
1581879212.3983262,173,2524.065185546875
1581879215.8774264,174,-225.3640594482422
1581879222.0809941,176,-2019.7200927734375
1581879226.4563665,177,-784.6702270507812
1581879229.387755,178,-5163.59130859375
1581879232.0748982,179,3215.16015625
1581879238.9160824,181,-5506.505859375
1581879241.64828,182,3531.707763671875
1581879244.2545333,183,2135.049072265625
1581879246.834104,184,-1274.872314453125
1581879250.3226097,185,-2473.08642578125
1581879252.9161751,186,2694.12548828125
1581879255.6616979,187,-4558.39599609375
1581879258.94289,188,1168.022705078125
1581879262.8259878,189,-133.82159423828125
1581879265.7873518,190,-894.6213989257812
1581879268.487173,191,3999.687744140625
1581879271.2633903,192,-677.914794921875
1581879280.9281156,195,-636.0652465820312
1581879296.1177702,199,-165.84030151367188
1581879299.4691126,200,231.80691528320312
1581879304.2800558,201,10660.6318359375
1581879307.4090579,202,2018.2979736328125
1581879310.529811,203,3676.6904296875
1581879315.100976,204,-2265.5751953125
1581879322.9482276,206,6329.04248046875
1581879325.9055197,207,1329.91650390625
1581879328.8271494,208,6969.7646484375
1581879333.5966845,209,-2329.623779296875
1581879336.7277799,210,-1290.5889892578125
1581879347.3130066,213,-931.9669799804688
1581879350.429531,214,-2214.703369140625
1581879353.3627162,215,-9295.1875
1581879356.2873788,216,-6449.17333984375
1581879360.9842005,217,-6242.97265625
1581879365.4029903,218,-5842.70849609375
1581879368.3798277,219,-2052.72021484375
1581879371.3914728,220,5014.642578125
1581879376.117802,221,-589.1063232421875
1581879379.2291076,222,2140.767578125
1581879382.320423,223,5765.97265625
1581879385.187957,224,-5038.28515625
1581879392.48818,226,-547.4188842773438
1581879395.521646,227,-4805.90869140625
1581879398.6026237,228,3715.388427734375
1581879406.58642,230,-4901.099609375
1581879409.7942214,231,1332.3564453125
1581879412.692561,232,907.7922973632812
1581879417.2256684,233,-6754.01171875
1581879420.3327458,234,6883.451171875
1581879423.234373,235,1718.2672119140625
1581879426.168577,236,-1016.1349487304688
1581879433.5244029,238,-3959.57666015625
1581879436.9059455,239,2235.748779296875
1581879445.1911523,241,10154.0673828125
1581879448.174893,242,-4190.05517578125
1581879451.2970185,243,-4745.74609375
1581879459.6471083,245,-5599.591796875
1581879463.3409927,246,267.6343994140625
1581879466.7103891,247,-1119.92822265625
1581879469.8967454,248,4099.599609375
1581879474.7431655,249,-770.9891357421875
1581879477.6943467,250,-1969.6885986328125
1581879480.9419334,251,-351.04339599609375
1581879483.8989978,252,588.9852294921875
1581879488.603405,253,-4018.648193359375
1581879491.61959,254,8798.15234375
1581879494.5241528,255,2046.896240234375
1581879497.4580913,256,160.37020874023438
1581879502.6692517,257,-4815.0009765625
1581879508.9877195,259,3189.343505859375
1581879511.91374,260,1599.797119140625
1581879517.3324025,261,1348.8477783203125
1581879520.3072748,262,594.5936279296875
1581879526.3703513,264,-994.3343505859375
1581879530.713329,265,2092.073486328125
1581879533.7902243,266,-1158.62890625
1581879540.0688355,268,9611.744140625
1581879548.4272647,270,-2120.58935546875
1581879554.6150503,272,2506.278564453125
1581879559.519752,273,1210.313232421875
1581879562.6101682,274,7094.56689453125
1581879565.767977,275,-2321.936279296875
1581879568.9081962,276,-721.2401123046875
1581879576.6201022,278,-7909.30810546875
1581879579.600463,279,-8725.5830078125
